#{"t_start": 1665999333.152304, "env_id": "CustomMyoChallengeBaodingP1-v1"}
r,l,t
1146.031483,200,2082.48527111120.872692,200,2096.62623111071.225784,200,2139.5574211607.60203,127,2155.905066
1176.04793,200,2170.443359
755.235405,200,2211.447992
1130.900401,200,2226.895543
1136.032056,200,2255.851204
980.010122,200,2296.856342
544.974845,200,2312.92051
1105.795506,200,2341.402754
1186.112019,200,2356.525216
491.189765,171,2357.792111
1005.784443,200,2398.083432
1181.159169,200,2413.710926
1181.145042,200,2440.523654
1075.631405,200,2471.336367
1191.049176,200,2498.672928
1186.024197,200,2513.454845
1071.083269,200,2555.803175
1145.825267,200,2572.284804
959.787626,200,2597.962297
688.916678,200,2640.777236
995.586283,200,2657.567273
1131.036834,200,2683.1316
1156.022156,200,2700.610761
490.076283,170,2701.867699
1022.682771,188,2729.241165
1101.104452,200,2756.222346
1131.18387,200,2770.947311
1181.355774,200,2814.116114
1181.293519,200,2830.715738
468.220366,172,2855.791206
1121.115108,200,2886.719691
964.80287,200,2915.824154
1010.81624,200,2930.221252
1070.881159,200,2972.934696
1181.07656,200,2989.272323
1136.002351,200,3015.73474
1196.448481,200,3032.073564
485.953435,171,3033.423648
1176.06363,200,3074.134357
1105.999335,200,3087.281101
1126.033187,200,3116.132622
1196.218901,200,3146.38698
924.335059,190,3172.299967
1160.832513,200,3188.610582
1176.230278,200,3231.771068
970.428685,200,3247.470458
1126.249432,200,3273.969883
1186.050154,200,3317.690593
960.72117,200,3332.491608
1171.161522,200,3359.615356
1171.115904,200,3377.255028
485.289646,165,3378.499314
1120.955164,200,3406.611871
1166.028602,200,3431.909505
1086.07834,200,3448.466085
890.298274,200,3491.431695
949.636849,200,3506.822996
1191.072128,200,3533.958405
895.56034,200,3564.775725
323.554928,150,3591.559538
479.971104,175,3605.772644
840.305826,200,3649.538968
1045.772211,200,3665.076787
1115.933633,200,3691.2975
1171.226101,200,3706.79634
1156.029635,200,3708.324787
829.619142,200,3709.962317
69.468685,74,3738.346348
939.489041,200,3752.753546
982.959098,178,3780.794914
1156.246741,200,3811.370565
1115.938084,200,3837.164288
950.2084,200,3866.434057
1065.839966,200,3898.117683
475.849448,181,3923.045969
1176.017974,200,3937.259593
1126.085853,200,3968.299169
835.167577,200,3996.291723
1171.219591,200,4023.903265
1030.714469,200,4038.849575
1081.173505,200,4056.1131.077471.594288,161,4057.41171.11426.735535,200,4084.37259.851196.199495,200,4110.21181.151141.312464,200,4126.81191.1011.059308,200,4169.5171141.1101.010495,200,4183.63810511070.717291,200,4212.373910711196.32935,200,4255.424815.1186.210868,200,4269.0551066.1010.671055,200,4298.57611461181.305935,200,4327.453915.31126.157844,200,4352.491116.11090.952846,200,4368.61161.111096.263475,200,4385.397038
1005.911777,200,4386.91985
291.173393,200,4427.401155
950.772004,200,4454.640146
1096.023992,200,4470.04445
1141.044219,200,4510.264028
471.580431,182,4525.152822
1146.043754,200,4555.254797
1176.441814,200,4585.224515
1196.386645,200,4609.512986
1045.858922,200,4625.940286
1011.043396,200,4669.408225
1125.943871,200,4682.283556
1126.005545,200,4710.96539
1186.219516,200,4728.31726
497.203892,183,4729.78308
1166.258722,200,4757.590754
1181.167267,200,4782.724439
1011.195938,200,4799.0173
995.524628,200,4842.861639
1081.024763,200,4867.928057
915.259302,200,4884.244957
1171.263597,200,4927.228575
1161.199649,200,4941.067195
1186.431151,200,4969.860051
985.314985,200,5001.200296
1160.82897,200,5026.609772
1181.173186,200,5055.558852
1070.690249,200,5057.977003
567.979505,145,5059.100213
617.862784,138,5089.115658
1161.26079,200,5114.23683
1156.000328,200,5130.259494
1161.099642,200,5173.840953
1171.01616,200,5189.239148
1056.076356,200,5215.479233
1171.053407,200,5248.504564
1111.121861,200,5271.245093
1070.260583,200,5300.236003
980.401362,200,5333.6553
1136.149707,200,5356.222211
1151.209004,200,5371.901759
1166.297747,200,5401.321607
945.957261,200,5402.8961176.382.680845,114,5403.7470116512.088414,200,5432.963823
1085.943321,200,5444.826943
1161.26041,200,5474.332191
1005.688824,200,5518.276691
1020.57868,200,5531.095555
970.649173,200,5559.679969
1131.187398,200,5592.832092
221.972907,81,5604.658391131181.273963,200,5615.762321181186.362755,200,5644.407615551171.255829,200,5688.871211201181.090622,200,5701.318711711156.326171,200,5730.18021031105.973123,200,5746.7495411510.009623,192,5748.16597211141.470455,200,5776.088215111125.74773,200,5802.358921
1181.279804,200,5818.076503
1171.067371,200,5861.944959
1060.516533,200,5875.132248
1081.245696,200,5904.372951
584.759653,119,5934.42726117915.724218,200,5945.550083111015.94454,200,5974.2293561699.725125,145,5989.589297
1066.1841,200,6029.989728
1196.436638,200,6044.773448
1116.110496,200,6075.17396
111196.443865,200,6076.33476.11176.252108,200,6077.831151469.888787,200,6107.87014251985.771197,200,6119.273911411126.495207,200,6148.856711611181.234455,200,6193.061911511116.183387,200,6205.414910661051.019645,200,6233.83541117995.654171,200,6267.631911111086.116134,200,6289.768811811075.934917,200,6304.630965.51146.194011,200,6350.011095111176.241835,200,6374.701166.11160.948026,200,6390.20985.76539.884737,200,6420.738395
298.076827,146,6421.811176.2699.646515,200,6449.412237.4182.447448,109,6463.11151.32554.959714,200,6477.481151.21186.235544,200,6523.1258.9601176.156564,200,65371126.11151071.015274,200,65631186.11661156.155944,200,6591196.511611171.264266,200,662814.861106964.794915,200,6641176.011701156.131511,200,6661176.20761970.197004,200,6701171.037611156.077688,200,671960.6315441191.054693,200,671191.083432111166.141753,200,1150.95583,4845.125717,200,6753.2480631276.42979,200,67261.51258211175.926718,200,1161.079106111146.304719,200,6834.990824951006.114761,2001166.2394389301116.21231,200,1096.131769551091.007888,200,111091.18940.1146.183452,200,1090.6341075.875.209022,200,6975.164610451161.166121,200,6991.7076925.1166.332026,200,7037.5541191.1196.25525,200,7049.110920.51181.112178,200,7076.951056.0605.024563,200,7093.73354.87357.655326,98,7091170506.03550.130973,200,71121041176.11161.05823,200,7136111131.181176.213284,200,7111111170.901181.329633,200,711011894.6101090.787563,200,722111171.2851076.142724,200,723611156.2521086.125538,200,728211151.1571101.270467,200,721111171.2161181.206906,200,73964920.53871171.116427,200,1001156.173931106.203841,200,9701181.11957980.819949,200,11761126.52441171.516693,200,1121.139727,21161.09905,200,71106.036866,200,7424.851767
341.686263,200,7463.515355
1106.074521,1156.206058,200,71176.175908,200,7506.938778
1181.033236,1176.345702,200,7754.102362,200,7561.453156
1191.299919,200,7592.055859
1171.142882,200,7624.460927
1071.061792,1191.420642,200,71081196.29331191.075572,200,71181.00164,200,7709.084268
1061146.082846,200,7720.354271191196.433951196.513816,2001181196.3000731181.093697,2001166.050898,201166.050898,200276.635274,200,7793.333876
870.427016,200,7818.408414
1166.146095,200,7834.294241
1151.167993,201126.158733,2001136.098792,200,7903.046976
1096.28868,2001051.055349,201176.253583,2001131.139867,201085.954706,200,7977.226336
1176.563397,200,8004.013791
1191.298698,200,8037.148987
1125.99235,200,8062.018382
1014.903802,181151.038582,2001196.504991,200,8092.24117
1136.069983,200,8093.714263
4236.318538,200,8133.180183570.059396,200,8145.762697
991185.837617,21176.146386,21191.030314,200,8207.248292
1171191.320895,1161.378238,201186.116807,200,8258.766954
111161.163101,200,8291.1040941096.143345,200,8315.937179
870.467194,200,8330.154658
1111.172606,200,8377.074621
1161.447144,1050.703067,200,1130.863841,200,8415.329061
1186.251244,21181.260061,200,1191.30453,200,8434.03195
